region_code_key|city_state_key|gym_code_key|original_gym_name|gym_name|latitude|longitude|gym_location_city|gym_location_state|word_1|word_2|word_3|gmap_url|gym_image|json
BAG|GLENDALECA|GLPOOF|Glendale Post Office|Glendale Post Office|34.133376|-118.253806|GLENDALE|CA|GL|PO|OF|https://www.google.com/maps/place/34.133376,-118.253806|https://lh6.ggpht.com/T-ct-9xVrzGhAqvgF2uEkhpLqyIm0pzyOLfxaN5j4rYTHspBeiTOla62FYL2PZoqyvMOcVqXvCPwXiAM4B4|*
BAG|GLENDALECA|GLARUT|Glendale Art Utility, Architecture|Glendale Art Utility, Architecture|34.132336|-118.254709|GLENDALE|CA|GL|AR|UT|https://www.google.com/maps/place/34.132336,-118.254709|https://lh3.googleusercontent.com/l0YmX6v7rx6jjs94eeLkIgeJLdXRj2CrBo_J5hZn4Ii_H3Y6U6Bn-6VYgrcdOHZojGNyQ8RygnfbKKSEF1w9ZQ|*
BAG|GLENDALECA|FLAR|Flower Art|Flower Art|34.142485|-118.249652|GLENDALE|CA|FL|AR||https://www.google.com/maps/place/34.142485,-118.249652|https://lh3.ggpht.com/iFnQP97CI5WU4SGlspXuE_Hd5XqFvFRyIW9PYimxgW-eEGd34CGzqgVsqWpAKKEd1ykt-ijg41QysHs_lOEv|*
BAG|GLENDALECA|GISU|Giant Sundial|Giant Sundial|34.138312|-118.24481|GLENDALE|CA|GI|SU||https://www.google.com/maps/place/34.138312,-118.24481|https://lh4.ggpht.com/XyPw8CykvEb9n7rOu8rILf3GK6C-KUSTfflOMOqQeqZ2bSnogxn25E93aZ7Pf5kfPwKDUk22FfOAEbbp0rA|*
BAG|GLENDALECA|PAPAGL|Palmer Park|Palmer Park Glendale|34.132472|-118.247618|GLENDALE|CA|PA|PA|GL|https://www.google.com/maps/place/34.132472,-118.247618|https://lh6.ggpht.com/JPdApUkjhqjRoyEVsTu-HfztryuvayQgzoqQePoMRI_UhEDZeO2g8PWy7MPixlY2ZfInTVfrX23Ppd2lBNwt|*
BAG|GLENDALECA|PSLIHE|Psychic Lion Head Fountain|Psychic Lion Head Fountain|34.139124|-118.255193|GLENDALE|CA|PS|LI|HE|https://www.google.com/maps/place/34.139124,-118.255193|https://lh5.ggpht.com/43-2RpscoQjK0lHLQXmNblt65OcfZil5VVw_2_Be66DBN6oleDr1Q2XBURrgMPmuU1wzVV6t30FyMBuJa1E|*
BAG|GLENDALECA|KOFIAR|Koi Fish Art Utility Box|Koi Fish Art Utility Box|34.14051|-118.254795|GLENDALE|CA|KO|FI|AR|https://www.google.com/maps/place/34.14051,-118.254795|https://lh3.googleusercontent.com/LccoreiV9qRPsvy76JeegJovjcikxGorAIU-thT4NXYkg_QhTZ8g7vb3ERipKYFHYvEx6gc58lEE2f1vd60Q|*
BAG|GLENDALECA|CRSPPI|Crystal Springs Picnic Area|Crystal Springs Picnic Area|34.133505|-118.277176|GLENDALE|CA|CR|SP|PI|https://www.google.com/maps/place/34.133505,-118.277176|https://lh6.ggpht.com/49TwZupGZx0pynhGTl5yXSNOCd1WL7hbg3e60ntRnLgJ--AdTza4mz_Hh0bKG0GC0M0Sz5YluQ2Dfwjwo94Q|*
BAG|GLENDALECA|NOATPA|North Atwater Park|North Atwater Park|34.133422|-118.272781|GLENDALE|CA|NO|AT|PA|https://www.google.com/maps/place/34.133422,-118.272781|https://lh3.ggpht.com/pDRY5eA5RYzV232B1kNgj1VNzSPVScHW3qG4iXn-Kq5lGDophr5yj24s9FJzQ2ZGbLVr-TRTMd20sz2xlvBY|*
BAG|GLENDALECA|LARIDE|LA River: Development and Future|LA River: Development and Future|34.132574|-118.273167|GLENDALE|CA|LA|RI|DE|https://www.google.com/maps/place/34.132574,-118.273167|https://lh6.ggpht.com/40helhZ9vJrRwm7rOU30tilifW_BHZh8oSYpm_SCj7RLJYx_g2pTTNiaZowcpzci8x7ktp7z8M980ud6OkbR|*
BAG|GLENDALECA|CHNAGL|Church of the Nazarene|Churchofthe Nazarene Glendale|34.135055|-118.25154|GLENDALE|CA|CH|NA|GL|https://www.google.com/maps/place/34.135055,-118.25154|https://lh5.ggpht.com/cVurzPVm0cGAmPZY-A4oUdhRfR_zaN5s1Cpxq8eRRPYeytvY84SL28-ma0eBwQrm990XxgyqfmLue3oj0FSF|*
BAG|GLENDALECA|THROBU|The Round Building|The Round Building|34.140651|-118.275207|GLENDALE|CA|TH|RO|BU|https://www.google.com/maps/place/34.140651,-118.275207|https://lh4.ggpht.com/VCmS7TDiYDRoZDWmyrGzw8TsX0gwjTWpOGip834tbqpIcXVVSNSJQwD_J6V0_5h_f9-5tmCm6GGzwPtGt05y|*
BAG|GLENDALECA|GLFOCH|Glendale Foursquare Church|Glendale Foursquare Church|34.136507|-118.260659|GLENDALE|CA|GL|FO|CH|https://www.google.com/maps/place/34.136507,-118.260659|https://lh3.googleusercontent.com/zr8dq2UmBXhLQRMPGHKPVn7X2AzIEZTKWbekjQf57F3F8PhezXpZ_u73RiAY2xJlXM7em61amTP1uYMySwca|*
BAG|GLENDALECA|PARICL|Paddock Riding Club|Paddock Riding Club|34.13003|-118.272156|GLENDALE|CA|PA|RI|CL|https://www.google.com/maps/place/34.13003,-118.272156|https://lh6.ggpht.com/6yXhoaWC1dYPyGaurnjL0NFt1QCJJO-X5uJP-_0JS6SOxFEQPD-VYxRasVg30g7BOU0QKis6DRPLdOHkDG4|*
