region_code_key|city_state_key|gym_code_key|original_gym_name|gym_name|latitude|longitude|gym_location_city|gym_location_state|word_1|word_2|word_3|gmap_url|gym_image|json
BAG|GLENDALECA|GLPOOF|"Glendale Post Office"|"Glendale Post Office"|34.133376|-118.253806|GLENDALE|CA|GL|PO|OF|https://www.google.com/maps/place/34.133376,-118.253806|https://lh6.ggpht.com/T-ct-9xVrzGhAqvgF2uEkhpLqyIm0pzyOLfxaN5j4rYTHspBeiTOla62FYL2PZoqyvMOcVqXvCPwXiAM4B4|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""GLPOOF"", ""original_gym_name"":""Glendale Post Office"", ""gym_name"":""Glendale Post Office"", ""latitude"":""34.133376"", ""longitude"":""-118.253806"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.133376,-118.253806"", ""gym_image"":""https://lh6.ggpht.com/T-ct-9xVrzGhAqvgF2uEkhpLqyIm0pzyOLfxaN5j4rYTHspBeiTOla62FYL2PZoqyvMOcVqXvCPwXiAM4B4""}"
BAG|GLENDALECA|GLARUT|"Glendale Art Utility, Architecture"|"Glendale Art Utility, Architecture"|34.132336|-118.254709|GLENDALE|CA|GL|AR|UT|https://www.google.com/maps/place/34.132336,-118.254709|https://lh3.googleusercontent.com/l0YmX6v7rx6jjs94eeLkIgeJLdXRj2CrBo_J5hZn4Ii_H3Y6U6Bn-6VYgrcdOHZojGNyQ8RygnfbKKSEF1w9ZQ|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""GLARUT"", ""original_gym_name"":""Glendale Art Utility, Architecture"", ""gym_name"":""Glendale Art Utility, Architecture"", ""latitude"":""34.132336"", ""longitude"":""-118.254709"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.132336,-118.254709"", ""gym_image"":""https://lh3.googleusercontent.com/l0YmX6v7rx6jjs94eeLkIgeJLdXRj2CrBo_J5hZn4Ii_H3Y6U6Bn-6VYgrcdOHZojGNyQ8RygnfbKKSEF1w9ZQ""}"
BAG|GLENDALECA|FLAR|"Flower Art"|"Flower Art"|34.142485|-118.249652|GLENDALE|CA|FL|AR|""|https://www.google.com/maps/place/34.142485,-118.249652|https://lh3.ggpht.com/iFnQP97CI5WU4SGlspXuE_Hd5XqFvFRyIW9PYimxgW-eEGd34CGzqgVsqWpAKKEd1ykt-ijg41QysHs_lOEv|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""FLAR"", ""original_gym_name"":""Flower Art"", ""gym_name"":""Flower Art"", ""latitude"":""34.142485"", ""longitude"":""-118.249652"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.142485,-118.249652"", ""gym_image"":""https://lh3.ggpht.com/iFnQP97CI5WU4SGlspXuE_Hd5XqFvFRyIW9PYimxgW-eEGd34CGzqgVsqWpAKKEd1ykt-ijg41QysHs_lOEv""}"
BAG|GLENDALECA|GISU|"Giant Sundial"|"Giant Sundial"|34.138312|-118.24481|GLENDALE|CA|GI|SU|""|https://www.google.com/maps/place/34.138312,-118.24481|https://lh4.ggpht.com/XyPw8CykvEb9n7rOu8rILf3GK6C-KUSTfflOMOqQeqZ2bSnogxn25E93aZ7Pf5kfPwKDUk22FfOAEbbp0rA|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""GISU"", ""original_gym_name"":""Giant Sundial"", ""gym_name"":""Giant Sundial"", ""latitude"":""34.138312"", ""longitude"":""-118.24481"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.138312,-118.24481"", ""gym_image"":""https://lh4.ggpht.com/XyPw8CykvEb9n7rOu8rILf3GK6C-KUSTfflOMOqQeqZ2bSnogxn25E93aZ7Pf5kfPwKDUk22FfOAEbbp0rA""}"
BAG|GLENDALECA|PAPAGL|"Palmer Park"|"Palmer Park Glendale"|34.132472|-118.247618|GLENDALE|CA|PA|PA|GL|https://www.google.com/maps/place/34.132472,-118.247618|https://lh6.ggpht.com/JPdApUkjhqjRoyEVsTu-HfztryuvayQgzoqQePoMRI_UhEDZeO2g8PWy7MPixlY2ZfInTVfrX23Ppd2lBNwt|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""PAPAGL"", ""original_gym_name"":""Palmer Park"", ""gym_name"":""Palmer Park Glendale"", ""latitude"":""34.132472"", ""longitude"":""-118.247618"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.132472,-118.247618"", ""gym_image"":""https://lh6.ggpht.com/JPdApUkjhqjRoyEVsTu-HfztryuvayQgzoqQePoMRI_UhEDZeO2g8PWy7MPixlY2ZfInTVfrX23Ppd2lBNwt""}"
BAG|GLENDALECA|PSLIHE|"Psychic Lion Head Fountain"|"Psychic Lion Head Fountain"|34.139124|-118.255193|GLENDALE|CA|PS|LI|HE|https://www.google.com/maps/place/34.139124,-118.255193|https://lh5.ggpht.com/43-2RpscoQjK0lHLQXmNblt65OcfZil5VVw_2_Be66DBN6oleDr1Q2XBURrgMPmuU1wzVV6t30FyMBuJa1E|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""PSLIHE"", ""original_gym_name"":""Psychic Lion Head Fountain"", ""gym_name"":""Psychic Lion Head Fountain"", ""latitude"":""34.139124"", ""longitude"":""-118.255193"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.139124,-118.255193"", ""gym_image"":""https://lh5.ggpht.com/43-2RpscoQjK0lHLQXmNblt65OcfZil5VVw_2_Be66DBN6oleDr1Q2XBURrgMPmuU1wzVV6t30FyMBuJa1E""}"
BAG|GLENDALECA|KOFIAR|"Koi Fish Art Utility Box"|"Koi Fish Art Utility Box"|34.14051|-118.254795|GLENDALE|CA|KO|FI|AR|https://www.google.com/maps/place/34.14051,-118.254795|https://lh3.googleusercontent.com/LccoreiV9qRPsvy76JeegJovjcikxGorAIU-thT4NXYkg_QhTZ8g7vb3ERipKYFHYvEx6gc58lEE2f1vd60Q|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""KOFIAR"", ""original_gym_name"":""Koi Fish Art Utility Box"", ""gym_name"":""Koi Fish Art Utility Box"", ""latitude"":""34.14051"", ""longitude"":""-118.254795"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.14051,-118.254795"", ""gym_image"":""https://lh3.googleusercontent.com/LccoreiV9qRPsvy76JeegJovjcikxGorAIU-thT4NXYkg_QhTZ8g7vb3ERipKYFHYvEx6gc58lEE2f1vd60Q""}"
BAG|GLENDALECA|CRSPPI|"Crystal Springs Picnic Area"|"Crystal Springs Picnic Area"|34.133505|-118.277176|GLENDALE|CA|CR|SP|PI|https://www.google.com/maps/place/34.133505,-118.277176|https://lh6.ggpht.com/49TwZupGZx0pynhGTl5yXSNOCd1WL7hbg3e60ntRnLgJ--AdTza4mz_Hh0bKG0GC0M0Sz5YluQ2Dfwjwo94Q|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""CRSPPI"", ""original_gym_name"":""Crystal Springs Picnic Area"", ""gym_name"":""Crystal Springs Picnic Area"", ""latitude"":""34.133505"", ""longitude"":""-118.277176"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.133505,-118.277176"", ""gym_image"":""https://lh6.ggpht.com/49TwZupGZx0pynhGTl5yXSNOCd1WL7hbg3e60ntRnLgJ--AdTza4mz_Hh0bKG0GC0M0Sz5YluQ2Dfwjwo94Q""}"
BAG|GLENDALECA|NOATPA|"North Atwater Park"|"North Atwater Park"|34.133422|-118.272781|GLENDALE|CA|NO|AT|PA|https://www.google.com/maps/place/34.133422,-118.272781|https://lh3.ggpht.com/pDRY5eA5RYzV232B1kNgj1VNzSPVScHW3qG4iXn-Kq5lGDophr5yj24s9FJzQ2ZGbLVr-TRTMd20sz2xlvBY|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""NOATPA"", ""original_gym_name"":""North Atwater Park"", ""gym_name"":""North Atwater Park"", ""latitude"":""34.133422"", ""longitude"":""-118.272781"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.133422,-118.272781"", ""gym_image"":""https://lh3.ggpht.com/pDRY5eA5RYzV232B1kNgj1VNzSPVScHW3qG4iXn-Kq5lGDophr5yj24s9FJzQ2ZGbLVr-TRTMd20sz2xlvBY""}"
BAG|GLENDALECA|LARIDE|"LA River: Development and Future"|"LA River: Development and Future"|34.132574|-118.273167|GLENDALE|CA|LA|RI|DE|https://www.google.com/maps/place/34.132574,-118.273167|https://lh6.ggpht.com/40helhZ9vJrRwm7rOU30tilifW_BHZh8oSYpm_SCj7RLJYx_g2pTTNiaZowcpzci8x7ktp7z8M980ud6OkbR|"{ ""region_code_key"":""BAG"", ""city_state_key"":""GLENDALECA"", ""gym_code_key"":""LARIDE"", ""original_gym_name"":""LA River: Development and Future"", ""gym_name"":""LA River: Development and Future"", ""latitude"":""34.132574"", ""longitude"":""-118.273167"", ""gym_location_city"":""GLENDALE"", ""gym_location_state"":""CA"", ""gmap_url"":""https://www.google.com/maps/place/34.132574,-118.273167"", ""gym_image"":""https://lh6.ggpht.com/40helhZ9vJrRwm7rOU30tilifW_BHZh8oSYpm_SCj7RLJYx_g2pTTNiaZowcpzci8x7ktp7z8M980ud6OkbR""}"
